"No.","Time","Source","Destination","Protocol","Length","Info"
"40","31.791928722","10.0.0.2","10.0.0.3","TCP","66","34568  >  42286 [ACK] Seq=1 Ack=39097 Win=80384 Len=0 TSval=3792313280 TSecr=2650296123"
"41","31.798909425","10.0.0.3","10.0.0.2","TCP","2962","42286  >  34568 [PSH, ACK] Seq=55025 Ack=1 Win=42496 Len=2896 TSval=2650296300 TSecr=3792313146"
"42","31.816700471","10.0.0.2","10.0.0.3","TCP","66","34568  >  42286 [ACK] Seq=1 Ack=41993 Win=80384 Len=0 TSval=3792313304 TSecr=2650296123"
"43","31.823170339","10.0.0.3","10.0.0.2","TCP","2962","42286  >  34568 [PSH, ACK] Seq=57921 Ack=1 Win=42496 Len=2896 TSval=2650296300 TSecr=3792313146"
"44","31.829110338","10.0.0.2","10.0.0.3","TCP","66","34568  >  42286 [ACK] Seq=1 Ack=43441 Win=80896 Len=0 TSval=3792313317 TSecr=2650296123"
"45","31.847645885","10.0.0.3","10.0.0.2","TCP","2962","42286  >  34568 [PSH, ACK] Seq=60817 Ack=1 Win=42496 Len=2896 TSval=2650296324 TSecr=3792313171"
"46","31.853275134","10.0.0.2","10.0.0.3","TCP","66","34568  >  42286 [ACK] Seq=1 Ack=46337 Win=80384 Len=0 TSval=3792313341 TSecr=2650296251"
"47","31.871608990","10.0.0.3","10.0.0.2","TCP","2962","42286  >  34568 [PSH, ACK] Seq=63713 Ack=1 Win=42496 Len=2896 TSval=2650296324 TSecr=3792313171"
"48","31.878046456","10.0.0.2","10.0.0.3","TCP","66","34568  >  42286 [ACK] Seq=1 Ack=49233 Win=80384 Len=0 TSval=3792313365 TSecr=2650296251"
"49","31.895999942","10.0.0.3","10.0.0.2","TCP","2962","42286  >  34568 [PSH, ACK] Seq=66609 Ack=1 Win=42496 Len=2896 TSval=2650296349 TSecr=3792313195"
"50","31.901573037","10.0.0.2","10.0.0.3","TCP","66","34568  >  42286 [ACK] Seq=1 Ack=52129 Win=86528 Len=0 TSval=3792313389 TSecr=2650296276"
"51","31.920032807","10.0.0.3","10.0.0.2","TCP","2962","42286  >  34568 [PSH, ACK] Seq=69505 Ack=1 Win=42496 Len=2896 TSval=2650296349 TSecr=3792313195"
"52","31.926382878","10.0.0.2","10.0.0.3","TCP","66","34568  >  42286 [ACK] Seq=1 Ack=55025 Win=92672 Len=0 TSval=3792313413 TSecr=2650296276"
"53","31.944270515","10.0.0.3","10.0.0.2","TCP","2962","42286  >  34568 [PSH, ACK] Seq=72401 Ack=1 Win=42496 Len=2896 TSval=2650296372 TSecr=3792313219"
"54","31.949712863","10.0.0.2","10.0.0.3","TCP","66","34568  >  42286 [ACK] Seq=1 Ack=57921 Win=98304 Len=0 TSval=3792313438 TSecr=2650296300"
"55","31.968618999","10.0.0.3","10.0.0.2","TCP","2962","42286  >  34568 [PSH, ACK] Seq=75297 Ack=1 Win=42496 Len=2896 TSval=2650296372 TSecr=3792313219"
"56","31.974686455","10.0.0.2","10.0.0.3","TCP","66","34568  >  42286 [ACK] Seq=1 Ack=60817 Win=103936 Len=0 TSval=3792313462 TSecr=2650296300"
"57","31.980985650","10.0.0.3","10.0.0.2","TCP","1514","42286  >  34568 [ACK] Seq=78193 Ack=1 Win=42496 Len=1448 TSval=2650296397 TSecr=3792313244"
"58","31.997837211","10.0.0.2","10.0.0.3","TCP","66","34568  >  42286 [ACK] Seq=1 Ack=63713 Win=110080 Len=0 TSval=3792313486 TSecr=2650296324"
"59","32.004824767","10.0.0.3","10.0.0.2","TCP","2962","42286  >  34568 [PSH, ACK] Seq=79641 Ack=1 Win=42496 Len=2896 TSval=2650296397 TSecr=3792313244"
"60","32.022137065","10.0.0.2","10.0.0.3","TCP","66","34568  >  42286 [ACK] Seq=1 Ack=66609 Win=115712 Len=0 TSval=3792313510 TSecr=2650296324"
"61","32.029298246","10.0.0.3","10.0.0.2","TCP","2962","42286  >  34568 [PSH, ACK] Seq=82537 Ack=1 Win=42496 Len=2896 TSval=2650296409 TSecr=3792313255"
"62","32.046697408","10.0.0.2","10.0.0.3","TCP","66","34568  >  42286 [ACK] Seq=1 Ack=69505 Win=121344 Len=0 TSval=3792313534 TSecr=2650296349"
"63","32.053460041","10.0.0.3","10.0.0.2","TCP","2962","42286  >  34568 [PSH, ACK] Seq=85433 Ack=1 Win=42496 Len=2896 TSval=2650296433 TSecr=3792313280"
"64","32.070549714","10.0.0.2","10.0.0.3","TCP","66","34568  >  42286 [ACK] Seq=1 Ack=72401 Win=127488 Len=0 TSval=3792313558 TSecr=2650296349"
"65","32.077505176","10.0.0.3","10.0.0.2","TCP","2962","42286  >  34568 [PSH, ACK] Seq=88329 Ack=1 Win=42496 Len=2896 TSval=2650296433 TSecr=3792313280"
"66","32.095382747","10.0.0.2","10.0.0.3","TCP","66","34568  >  42286 [ACK] Seq=1 Ack=75297 Win=133120 Len=0 TSval=3792313582 TSecr=2650296372"
"67","32.101793996","10.0.0.3","10.0.0.2","TCP","2962","42286  >  34568 [PSH, ACK] Seq=91225 Ack=1 Win=42496 Len=2896 TSval=2650296458 TSecr=3792313304"
"68","32.119158670","10.0.0.2","10.0.0.3","TCP","66","34568  >  42286 [ACK] Seq=1 Ack=78193 Win=138752 Len=0 TSval=3792313607 TSecr=2650296372"
"69","32.126096583","10.0.0.3","10.0.0.2","TCP","2962","42286  >  34568 [PSH, ACK] Seq=94121 Ack=1 Win=42496 Len=2896 TSval=2650296470 TSecr=3792313317"
"70","32.131558092","10.0.0.2","10.0.0.3","TCP","66","34568  >  42286 [ACK] Seq=1 Ack=79641 Win=141824 Len=0 TSval=3792313619 TSecr=2650296397"
"71","32.150372073","10.0.0.3","10.0.0.2","TCP","2962","42286  >  34568 [PSH, ACK] Seq=97017 Ack=1 Win=42496 Len=2896 TSval=2650296494 TSecr=3792313341"
"72","32.155348480","10.0.0.2","10.0.0.3","TCP","66","34568  >  42286 [ACK] Seq=1 Ack=82537 Win=147456 Len=0 TSval=3792313643 TSecr=2650296397"
"73","32.162475925","10.0.0.3","10.0.0.2","TCP","1514","42286  >  34568 [ACK] Seq=99913 Ack=1 Win=42496 Len=1448 TSval=2650296519 TSecr=3792313365"
"74","32.179649854","10.0.0.2","10.0.0.3","TCP","66","34568  >  42286 [ACK] Seq=1 Ack=85433 Win=153600 Len=0 TSval=3792313667 TSecr=2650296409"
"75","32.186561241","10.0.0.3","10.0.0.2","TCP","2962","42286  >  34568 [PSH, ACK] Seq=101361 Ack=1 Win=42496 Len=2896 TSval=2650296543 TSecr=3792313389"
"76","32.203968402","10.0.0.2","10.0.0.3","TCP","66","34568  >  42286 [ACK] Seq=1 Ack=88329 Win=159232 Len=0 TSval=3792313692 TSecr=2650296433"
"77","32.210895939","10.0.0.3","10.0.0.2","TCP","2962","42286  >  34568 [PSH, ACK] Seq=104257 Ack=1 Win=42496 Len=2896 TSval=2650296567 TSecr=3792313413"
"78","32.228216866","10.0.0.2","10.0.0.3","TCP","66","34568  >  42286 [ACK] Seq=1 Ack=91225 Win=164864 Len=0 TSval=3792313716 TSecr=2650296433"
"79","32.235183582","10.0.0.3","10.0.0.2","TCP","2962","42286  >  34568 [PSH, ACK] Seq=107153 Ack=1 Win=42496 Len=2896 TSval=2650296591 TSecr=3792313438"
"80","32.252059271","10.0.0.2","10.0.0.3","TCP","66","34568  >  42286 [ACK] Seq=1 Ack=94121 Win=170496 Len=0 TSval=3792313740 TSecr=2650296458"
"81","32.259530468","10.0.0.3","10.0.0.2","TCP","2962","42286  >  34568 [PSH, ACK] Seq=110049 Ack=1 Win=42496 Len=2896 TSval=2650296616 TSecr=3792313462"
"82","32.276383046","10.0.0.2","10.0.0.3","TCP","66","34568  >  42286 [ACK] Seq=1 Ack=97017 Win=176640 Len=0 TSval=3792313764 TSecr=2650296470"
"83","32.283396620","10.0.0.3","10.0.0.2","TCP","2962","42286  >  34568 [PSH, ACK] Seq=112945 Ack=1 Win=42496 Len=2896 TSval=2650296639 TSecr=3792313486"
"84","32.300709407","10.0.0.2","10.0.0.3","TCP","66","34568  >  42286 [ACK] Seq=1 Ack=99913 Win=182272 Len=0 TSval=3792313788 TSecr=2650296494"
"85","32.307725112","10.0.0.3","10.0.0.2","TCP","2962","42286  >  34568 [PSH, ACK] Seq=115841 Ack=1 Win=42496 Len=2896 TSval=2650296663 TSecr=3792313510"
"86","32.312638540","10.0.0.2","10.0.0.3","TCP","66","34568  >  42286 [ACK] Seq=1 Ack=101361 Win=185344 Len=0 TSval=3792313801 TSecr=2650296519"
"87","32.332717119","10.0.0.3","10.0.0.2","TCP","2962","42286  >  34568 [PSH, ACK] Seq=118737 Ack=1 Win=42496 Len=2896 TSval=2650296688 TSecr=3792313534"
"88","32.336816517","10.0.0.2","10.0.0.3","TCP","66","34568  >  42286 [ACK] Seq=1 Ack=104257 Win=190976 Len=0 TSval=3792313825 TSecr=2650296543"
"89","32.356121160","10.0.0.3","10.0.0.2","TCP","2962","42286  >  34568 [PSH, ACK] Seq=121633 Ack=1 Win=42496 Len=2896 TSval=2650296688 TSecr=3792313534"
"90","32.361198408","10.0.0.2","10.0.0.3","TCP","66","34568  >  42286 [ACK] Seq=1 Ack=107153 Win=196608 Len=0 TSval=3792313849 TSecr=2650296567"
"91","32.380973911","10.0.0.3","10.0.0.2","TCP","2962","42286  >  34568 [PSH, ACK] Seq=124529 Ack=1 Win=42496 Len=2896 TSval=2650296712 TSecr=3792313558"
"92","32.385413283","10.0.0.2","10.0.0.3","TCP","66","34568  >  42286 [ACK] Seq=1 Ack=110049 Win=202752 Len=0 TSval=3792313873 TSecr=2650296591"
